latent_step,raw_frame_idx,rms_contrast,optical_flow,unpredictability_h4_euclidean,unpredictability_h8_euclidean,unpredictability_h12_euclidean
0,0,0.4193016700722744,0.30814993,107.99436950683594,107.8629150390625,107.79714965820312
1,4,0.45524511072861057,0.3643519,110.81571197509766,110.6571273803711,110.48826599121094
2,8,0.4088519054842908,0.41142094,106.99246215820312,107.59706115722656,107.93058013916016
3,12,0.4135082735007247,0.42097774,110.98545837402344,110.78638458251953,110.5994644165039
4,16,0.5347248649559939,0.58540815,106.90380859375,107.61270141601562,107.91801452636719
5,20,0.3924347480530782,0.45162854,108.91181945800781,108.788330078125,108.781982421875
6,24,0.3963114020299557,0.5247718,106.89153289794922,107.59920501708984,107.85389709472656
7,28,0.45078906111533307,0.49412638,107.08219146728516,107.40913391113281,107.72614288330078
8,32,0.5825549717304984,0.71585864,106.8687744140625,107.6992416381836,107.65364837646484
9,36,0.5793140678405208,0.63615143,108.97420501708984,108.3173828125,107.93753051757812
10,40,0.577862878956066,0.61491746,110.1228256225586,109.95551300048828,109.83611297607422
11,44,0.5760081977492204,0.6809176,110.09432983398438,109.74235534667969,109.36283111572266
12,48,0.0,0.00021592059,109.67701721191406,109.53045654296875,109.41726684570312
13,52,0.4766762094193692,0.6744387,108.36398315429688,109.11412048339844,109.65538024902344
14,56,0.5219479618615842,0.63682073,106.00275421142578,106.64788055419922,106.87776947021484
15,60,0.5437282812950879,0.6381487,109.40573120117188,108.74891662597656,108.97982025146484
16,64,0.5658095636444183,0.61048687,109.36376190185547,108.59236907958984,108.32565307617188
17,68,0.5556289455459433,0.6598583,107.90326690673828,107.71778869628906,107.64385223388672
18,72,0.6938990033256595,0.57781327,107.77118682861328,107.89937591552734,108.59410858154297
19,76,0.59060518781187,0.5955073,111.28567504882812,111.08222198486328,110.96925354003906
20,80,0.5273042955592002,0.5938046,110.91990661621094,110.73250579833984,110.5616683959961
21,84,0.560664619413798,0.5199945,110.47028350830078,110.2007064819336,110.01092529296875
22,88,0.5710082200854874,0.5224668,106.96315002441406,106.8580322265625,106.83193969726562
23,92,0.5400321607280167,0.47216994,107.73873138427734,108.07598114013672,107.89087677001953
24,96,0.5364755555624222,0.5231817,110.84423828125,110.07931518554688,109.75303649902344
25,100,0.0,0.0002071855,109.23739624023438,108.7175521850586,108.44869995117188
26,104,0.4953264825999809,0.50203484,110.374267578125,110.25969696044922,110.19746398925781
27,108,0.4200860431137933,0.492329,106.24964141845703,105.97093963623047,105.80652618408203
28,112,0.5178114480898264,0.6605879,107.51519775390625,107.48790740966797,107.52528381347656
29,116,0.5578708087112859,0.6055507,106.44393157958984,106.44340515136719,106.46585083007812
30,120,0.5822084924742456,0.75801337,106.08124542236328,106.08143615722656,106.19219970703125
31,124,0.6038997144464817,0.7283978,107.83932495117188,108.30514526367188,108.78919219970703
32,128,0.6056759785402773,0.7824011,108.25074768066406,108.80230712890625,108.997802734375
33,132,0.7084709295094993,0.85059696,108.76569366455078,110.73616027832031,110.25292205810547
34,136,0.7433792342627088,1.0268701,108.64875793457031,109.24970245361328,109.4825668334961
35,140,0.6099632130585784,0.9352328,110.289794921875,110.19354248046875,110.12098693847656
36,144,0.7592643587022898,0.90552455,111.18565368652344,111.00314331054688,110.85637664794922
