latent_step,raw_frame_idx,rms_contrast,optical_flow,unpredictability_h4_euclidean,unpredictability_h8_euclidean,unpredictability_h12_euclidean
0,0,0.8461663203239809,0.9883073,105.88947296142578,105.52975463867188,105.07391357421875
1,4,0.5581150867191718,0.6718924,105.70916748046875,105.96246337890625,106.08280944824219
2,8,0.26989374762059437,0.16476883,107.66329956054688,107.52779388427734,107.44615936279297
3,12,0.7901355850953204,1.0760602,107.89566802978516,107.76304626464844,107.66837310791016
4,16,0.5178114480898264,0.6605879,106.73416900634766,107.12716674804688,107.26641845703125
5,20,0.746453771308685,0.92186666,105.6684341430664,105.66979217529297,107.16697692871094
6,24,0.5352001808633866,0.65431404,106.43203735351562,106.37494659423828,106.33116912841797
7,28,0.5564978311992322,0.62135196,106.03134155273438,106.05638885498047,106.15541076660156
8,32,0.4571018373502605,0.45363432,108.22686767578125,107.9632339477539,107.88927459716797
9,36,0.4431526002969426,0.3586042,106.21466827392578,106.45335388183594,106.1033706665039
10,40,0.3169651488516666,0.24187398,103.73672485351562,103.72992706298828,103.62637329101562
11,44,0.6442136682485597,0.5814884,105.66624450683594,106.03716278076172,106.33016204833984
12,48,0.5825549717304984,0.71585864,107.0074462890625,106.78955078125,106.61891174316406
13,52,0.4282120759844533,0.49301183,107.5413818359375,107.54386901855469,107.44806671142578
14,56,0.48443714724780074,0.5865416,105.7625732421875,105.93165588378906,106.05979919433594
15,60,0.6086394884587745,0.6204808,105.9443130493164,105.80323028564453,105.76671600341797
16,64,0.4191981733811704,0.41905943,102.87632751464844,103.1483154296875,103.27232360839844
17,68,0.8564935519142599,0.9429173,106.56552124023438,106.38771057128906,106.35986328125
18,72,0.6187875205976816,0.75643754,105.12333679199219,104.93863677978516,104.80245971679688
19,76,0.8204576345753776,1.060446,111.15116882324219,110.98805236816406,110.82775115966797
20,80,0.9959077717673861,1.1806526,106.14655303955078,106.16055297851562,106.18026733398438
21,84,0.4135082735007247,0.42097774,103.9080581665039,103.91812896728516,103.84458923339844
22,88,0.30120946738608395,0.23161167,105.12499237060547,105.47570037841797,105.64775848388672
23,92,0.3832107669612918,0.20809309,104.14539337158203,104.03472137451172,103.94464111328125
24,96,0.5029121979240541,0.4128939,103.36637878417969,103.47874450683594,103.60845947265625
25,100,0.5819839681462365,0.50306094,105.67276000976562,105.64302062988281,105.60891723632812
26,104,0.8251118191015251,1.1508137,106.0777587890625,105.49617767333984,104.953125
27,108,0.8326497382156709,1.1645349,106.47978973388672,106.5204849243164,106.63613891601562
28,112,0.2426310129464268,0.1657957,104.50536346435547,105.21363830566406,105.79737091064453
29,116,0.41790464864478116,0.42820942,106.19232940673828,106.2964096069336,106.46759033203125
30,120,0.7129024616707322,0.52898836,104.71441650390625,104.69306945800781,104.61298370361328
31,124,0.6135459717551763,0.71501255,104.42752075195312,104.51889038085938,104.53912353515625
32,128,0.4717131057274358,0.54786974,107.91715240478516,107.63208770751953,107.35231018066406
33,132,0.45665454893387797,0.50042224,102.63764953613281,102.65390014648438,102.62226104736328
34,136,0.03677218205459472,0.014751977,109.40609741210938,109.16759490966797,109.02155303955078
35,140,0.7241812239748073,0.85328156,104.32589721679688,104.13088989257812,104.08049774169922
36,144,0.38771799210777175,0.30191004,107.12708282470703,107.37471008300781,106.47994232177734
