latent_step,raw_frame_idx,rms_contrast,optical_flow,unpredictability_h4,unpredictability_h8,unpredictability_h12
0,0,32.9182514773559,0.032055546,0.33931130170822144,0.2681610584259033,0.29134857654571533
1,4,31.69490009921358,0.76986325,0.34262940287590027,0.34514009952545166,0.3537004888057709
2,8,31.274747939480392,0.71830034,0.32781901955604553,0.3404170572757721,0.3747960031032562
3,12,31.145078143780196,1.02704,0.48688745498657227,0.45971137285232544,0.4450892210006714
4,16,33.05422483373518,1.2700286,0.36448439955711365,0.3803437352180481,0.38666021823883057
5,20,33.76061998705416,0.7629457,0.3141229450702667,0.36598658561706543,0.3876028060913086
6,24,35.83422817669302,1.0812075,0.34288889169692993,0.3776416778564453,0.3852141201496124
7,28,36.82324162367795,1.0351934,0.3497231900691986,0.38040974736213684,0.39640703797340393
8,32,37.85712412621337,0.6643792,0.4675201177597046,0.4359743297100067,0.436498761177063
9,36,38.956068694350506,0.876551,0.41173091530799866,0.413746178150177,0.4210236370563507
10,40,40.683974048328366,0.39668834,0.4108445942401886,0.39923664927482605,0.39221563935279846
11,44,36.185593182862284,2.2233667,0.36913391947746277,0.3888704478740692,0.3891694247722626
12,48,36.763995801741515,0.3456104,0.4072776436805725,0.39387571811676025,0.3811401426792145
