latent_step,raw_frame_idx,rms_contrast,optical_flow,unpredictability_h4,unpredictability_h8,unpredictability_h12
0,0,30.814563987534463,0.15656705,0.39450201392173767,0.4077325463294983,0.4627451002597809
1,4,30.838987274215707,0.27068833,0.44313347339630127,0.46457260847091675,0.49265411496162415
2,8,31.03573760310163,0.21206897,0.46369144320487976,0.41184741258621216,0.4113122224807739
3,12,31.092060963570773,0.45640203,0.47536608576774597,0.480965793132782,0.48698708415031433
4,16,31.14091931238187,0.27076146,0.46721351146698,0.47703051567077637,0.4923067092895508
5,20,30.464895124998186,0.78569174,0.5259016752243042,0.5309103727340698,0.5356593728065491
6,24,30.212523729774315,0.68666196,0.2982306182384491,0.37477466464042664,0.3196379542350769
7,28,30.21677061850747,0.5528184,0.3286457657814026,0.34811997413635254,0.3600458800792694
8,32,31.39471752350194,1.0053191,0.43203091621398926,0.4373289942741394,0.4525829553604126
9,36,31.72795220012405,0.40444082,0.422179639339447,0.43818190693855286,0.4588562548160553
10,40,31.394819435387937,0.53930014,0.4516139030456543,0.4623193144798279,0.48589029908180237
11,44,30.527524464904122,0.40049732,0.29472458362579346,0.3083000183105469,0.31823375821113586
12,48,30.25770963538231,0.3823182,0.4871543049812317,0.5016036033630371,0.50927734375
13,52,30.185905438225667,0.65482545,0.4334576427936554,0.4548046588897705,0.4648483693599701
14,56,29.977719737211455,0.5105623,0.43942010402679443,0.4796874523162842,0.5027598738670349
15,60,30.270594099097366,0.99308205,0.47817501425743103,0.5062770247459412,0.5220009684562683
16,64,31.101593325318976,0.8959783,0.5161924362182617,0.5439592599868774,0.5485628247261047
17,68,30.427409720549555,1.7019774,0.4332021176815033,0.43453142046928406,0.44513586163520813
18,72,29.06970493460152,2.1126006,0.602060079574585,0.6103227734565735,0.5847005844116211
19,76,27.463094419974148,1.9208302,0.5417525172233582,0.5362066030502319,0.5287779569625854
20,80,22.75229553963394,1.8611463,0.4836422801017761,0.49083763360977173,0.49160388112068176
21,84,20.55415190784045,1.1048598,0.473224937915802,0.452976793050766,0.44345077872276306
22,88,47.914402491061736,4.916694,0.538940966129303,0.5039778351783752,0.48370683193206787
23,92,46.42192510705372,1.3426089,0.4492003321647644,0.4457850456237793,0.4554395377635956
24,96,47.2936129472462,0.8001878,0.574885368347168,0.5661011338233948,0.5661351680755615
25,100,46.896461566557214,1.0285937,0.49381160736083984,0.4997219145298004,0.5068138241767883
