latent_step,raw_frame_idx,rms_contrast,optical_flow,unpredictability_h4,unpredictability_h8,unpredictability_h12
0,0,44.54086346042128,0.4781152,0.28929197788238525,0.2848696708679199,0.2866317927837372
1,4,44.69756954275784,0.30420634,0.2991858720779419,0.29514360427856445,0.3080456852912903
2,8,45.18689395275423,0.2247501,0.3309789299964905,0.31994742155075073,0.3219868242740631
3,12,44.99468972696519,0.37334657,0.3180682957172394,0.3276323974132538,0.33204999566078186
4,16,44.45301206677198,0.43101865,0.3490144610404968,0.3357570171356201,0.3202259838581085
5,20,44.9398623410839,0.20885979,0.3478790521621704,0.33228954672813416,0.354804128408432
6,24,45.48554792312289,0.2585585,0.32185858488082886,0.32530465722084045,0.3363981544971466
7,28,44.98361012073469,0.47650316,0.2893916368484497,0.2978034019470215,0.31540653109550476
8,32,44.77230517400749,0.20778786,0.41938281059265137,0.3934762477874756,0.3942267596721649
9,36,44.06228963355593,0.28349924,0.36173009872436523,0.3395717144012451,0.33579933643341064
10,40,42.833086056158045,1.6235318,0.3746931850910187,0.36606723070144653,0.3641768991947174
11,44,40.78031030540458,1.4258268,0.4154369831085205,0.3879299759864807,0.38952863216400146
12,48,37.5380315243193,0.82388,0.3304939568042755,0.3291962146759033,0.3466472923755646
13,52,36.24902892335984,0.71634775,0.4408590793609619,0.43349796533584595,0.42518892884254456
14,56,35.686458345298966,0.4484866,0.34763747453689575,0.3385887145996094,0.3473432958126068
15,60,35.66343906340894,0.2420986,0.3778366446495056,0.363834410905838,0.34745025634765625
16,64,35.2307524005563,0.2869412,0.4759019911289215,0.4825713634490967,0.4879997670650482
17,68,35.23770592818112,0.47818714,0.3535825312137604,0.351249635219574,0.3627094328403473
18,72,35.252642982206794,0.21959378,0.38308483362197876,0.3800416886806488,0.37317049503326416
19,76,35.70147793724307,0.13954765,0.34406301379203796,0.3442341387271881,0.3414513170719147
20,80,35.64942683384621,0.1964027,0.27587518095970154,0.27728915214538574,0.2741563320159912
21,84,35.523727084328286,0.1511214,0.40602168440818787,0.40664899349212646,0.40932998061180115
22,88,35.605457356312655,0.32716376,0.4169425070285797,0.38057971000671387,0.3738173246383667
23,92,35.55162066610918,0.18770249,0.5031810998916626,0.4841357469558716,0.4880332946777344
24,96,35.715691767449606,0.17162654,0.41816428303718567,0.41402149200439453,0.41756895184516907
25,100,35.630065272681755,0.1856858,0.3616854250431061,0.3478456437587738,0.34719550609588623
26,104,35.993104412261516,0.17453836,0.2816062271595001,0.2812954783439636,0.29566434025764465
27,108,36.26002511206938,0.28489575,0.46683138608932495,0.46292492747306824,0.4607151746749878
28,112,37.14745837577999,0.14345519,0.3584088087081909,0.3399422764778137,0.32675766944885254
