latent_step,raw_frame_idx,rms_contrast,optical_flow,unpredictability_h1_euclidean,unpredictability_h2_euclidean,unpredictability_h3_euclidean
0,0,1.3322857217250381,1.0185622,107.43396759033203,107.22323608398438,107.22349548339844
1,1,0.0,0.00055907917,107.26748657226562,107.3111572265625,107.26317596435547
2,2,1.5255781989265809,1.5112953,108.44815826416016,108.46736145019531,108.10470581054688
3,3,1.79056056443039,1.8430159,107.77397155761719,107.5198974609375,107.64525604248047
4,4,1.6640716954820183,2.138404,106.20772552490234,106.71075439453125,106.55050659179688
5,5,1.6583387787682675,2.7135456,107.5153579711914,106.99137115478516,106.9629898071289
6,6,1.596854257678837,2.2751687,107.02870178222656,107.08335876464844,107.154296875
7,7,1.4511635291025813,1.9950365,106.9099349975586,107.03404235839844,107.107177734375
8,8,1.3156920825410472,1.1844841,108.1063461303711,108.2670669555664,108.35321044921875
9,9,1.3188729056831754,1.2139492,107.50507354736328,107.38525390625,107.32514953613281
10,10,1.2672488927837535,1.0308117,107.43291473388672,107.28572845458984,107.02423095703125
11,11,1.3902092789848632,1.3266946,107.28256225585938,106.9803237915039,106.826416015625
12,12,1.5190783645674204,1.1657994,106.67926025390625,106.7012710571289,106.71725463867188
13,13,1.3909110736239345,1.2696553,107.28184509277344,107.33136749267578,107.19393157958984
14,14,0.19020395976281074,0.06657041,107.0352783203125,107.1700439453125,107.13497924804688
15,15,1.4678243711097547,1.095717,106.62044525146484,106.39922332763672,106.59856414794922
16,16,1.3985294761404043,1.3392699,106.99462890625,107.5284423828125,107.87100219726562
17,17,1.3808144760326084,1.3969649,107.031494140625,107.24665069580078,106.99589538574219
18,18,1.1347159279170538,1.3217747,107.9254150390625,107.39089965820312,107.28858184814453
19,19,1.2537208521363272,1.2945815,108.56526184082031,108.3287582397461,108.12903594970703
20,20,1.149823654099706,1.1829784,107.26190948486328,107.192138671875,107.22908782958984
21,21,1.1917187683093429,1.0213486,106.71456146240234,106.90641784667969,106.77754974365234
22,22,1.0561670583956506,0.82397455,106.83185577392578,106.52603912353516,106.50250244140625
23,23,0.8860277719297478,0.7263706,106.62045288085938,106.81910705566406,106.89170837402344
24,24,0.7817376380447512,0.6259974,106.72989654541016,106.76728057861328,106.9010238647461
25,25,0.9287421196651571,0.5409977,108.32905578613281,108.6104736328125,108.5291976928711
26,26,0.7573191943967438,0.54572076,107.64694213867188,107.34618377685547,107.25772857666016
27,27,0.0,0.00020464748,107.08159637451172,107.09999084472656,107.25225067138672
28,28,1.0034969457236453,0.77495277,107.28534698486328,107.48882293701172,107.36779022216797
29,29,0.8207756367452439,0.7493962,107.72554016113281,107.45160675048828,107.58287811279297
30,30,0.900471583858334,0.74424726,107.40528869628906,107.70596313476562,108.01380157470703
31,31,0.8011096929936055,0.7110739,109.07034301757812,109.52424621582031,109.42049407958984
32,32,0.8161777198620906,0.6893441,110.01632690429688,109.61166381835938,109.34628295898438
33,33,0.8937789999489221,0.7971838,108.78052520751953,108.58346557617188,108.68682098388672
34,34,0.8439695859969751,0.6064637,108.66580963134766,108.90254974365234,108.7725601196289
35,35,0.8113311429900856,0.647884,108.335205078125,107.9763412475586,107.90767669677734
36,36,0.9738867352609946,0.82084537,108.90933227539062,109.00897216796875,109.17997741699219
37,37,0.9191766464378457,0.71250725,108.06681823730469,108.33297729492188,108.00177764892578
38,38,1.055314416475161,0.66748303,108.62162017822266,107.92050170898438,107.71235656738281
39,39,0.019821135233573463,0.009093036,107.25173950195312,107.18672180175781,107.23247528076172
40,40,0.840140901473933,0.5555598,107.72199249267578,107.70246124267578,107.68091583251953
41,41,0.7775700708894544,0.5535834,107.43682098388672,107.35887145996094,107.33881378173828
42,42,0.9152131850523799,0.6077901,107.73582458496094,107.69243621826172,107.75244903564453
43,43,0.9736982120693527,0.7542969,107.5356674194336,107.54295349121094,107.51094055175781
44,44,1.0508213614347064,0.75841916,107.53913879394531,107.56980895996094,107.15328216552734
45,45,1.186935686152903,0.83566594,107.79647827148438,107.35971069335938,107.4019546508789
46,46,1.2619944568857777,0.9590862,106.54058837890625,106.95329284667969,106.69315338134766
47,47,1.17358411128822,0.80513024,107.57767486572266,107.18006896972656,107.400634765625
48,48,1.1427545659707503,0.79264045,106.50655364990234,106.980712890625,107.39277648925781
49,49,1.189814085458678,0.7487745,107.53890228271484,107.75659942626953,107.91863250732422
50,50,1.1927325662629085,0.8934213,107.82395935058594,107.84400939941406,107.87413024902344
51,51,1.1823200981226125,0.83689064,107.64181518554688,107.56366729736328,107.48600006103516
52,52,0.0,0.00031249007,107.7789535522461,107.82816314697266,108.27584075927734
53,53,1.0783201664648523,0.73064774,107.76847076416016,107.8028335571289,107.95594024658203
54,54,0.8815639152495077,0.7201733,108.12947845458984,108.10801696777344,108.0885238647461
55,55,0.8269483195366328,0.5567846,107.88162231445312,107.89759063720703,108.11641693115234
56,56,0.890015568585533,0.5780578,108.11000061035156,108.31307220458984,108.24179077148438
57,57,1.0067170754171335,0.6622719,108.15623474121094,107.9029769897461,107.91374969482422
58,58,0.9967882112655214,0.72466266,108.73306274414062,108.96821594238281,109.03913116455078
59,59,1.104553497929448,0.7558329,108.20455932617188,108.15872955322266,108.24053955078125
60,60,1.011166111462878,0.84231114,108.68426513671875,108.99586486816406,108.88265228271484
61,61,1.0277975290748693,0.7625591,108.77438354492188,108.22164916992188,107.85960388183594
62,62,1.0744638836261418,0.7648055,108.0983657836914,107.64105987548828,107.71489715576172
63,63,1.107336896157718,0.7261846,107.3790054321289,107.70762634277344,107.58456420898438
64,64,0.8609669805421096,0.52074295,107.98031616210938,107.59333038330078,107.7433090209961
65,65,0.062323444738579925,0.034501586,107.46021270751953,107.79601287841797,107.72865295410156
66,66,0.9275444419703635,0.63043255,107.95633697509766,107.79930877685547,107.55045318603516
67,67,0.9482953509477599,0.87142944,107.66121673583984,107.42752075195312,107.48722076416016
68,68,1.063379130861352,0.7376271,107.0948715209961,107.50212860107422,107.99551391601562
69,69,1.0901395389766173,0.81282216,107.48847198486328,107.95150756835938,107.86764526367188
70,70,1.0160405695161752,0.81848454,107.89338684082031,107.79141998291016,108.02549743652344
71,71,1.084232865196508,0.7540666,107.95713806152344,108.36380767822266,108.435302734375
72,72,0.9671538447662104,0.6736423,108.30895233154297,107.67675018310547,107.83705139160156
73,73,0.9065157963482453,0.70869523,106.78294372558594,106.81073760986328,107.24717712402344
74,74,0.9325164207639399,0.773621,107.53573608398438,108.47867584228516,108.01487731933594
75,75,0.8396995619620627,0.70597965,107.55299377441406,108.14120483398438,107.95576477050781
76,76,0.951994380241909,0.73748106,107.03787231445312,107.79374694824219,107.72737884521484
77,77,1.171696435519176,0.85404557,107.40914916992188,108.01406860351562,107.99380493164062
78,78,0.00015766160687422456,0.00053956406,107.86682891845703,108.575927734375,108.39747619628906
79,79,1.1636086721847945,1.0878093,107.5133285522461,107.59324645996094,107.49727630615234
80,80,1.2826029968946464,1.4510343,108.31709289550781,108.19795989990234,108.13304901123047
81,81,1.5048387036608035,2.2045362,108.33267974853516,108.36656951904297,108.09371185302734
82,82,1.2121782650027735,1.2918601,107.91085815429688,107.60467529296875,107.53739929199219
83,83,1.223992219656207,1.1458215,107.66951751708984,107.81393432617188,107.93501281738281
84,84,1.3083315446533805,0.8988052,107.9955825805664,108.14437103271484,107.61862182617188
85,85,1.3286400426832623,1.1697205,107.7930679321289,107.24215698242188,107.66008758544922
86,86,1.7451256264918338,1.269907,106.07788848876953,107.0431900024414,107.08281707763672
87,87,1.5724927386583665,1.4903649,107.4686508178711,107.26222229003906,106.9422378540039
88,88,1.885131880028075,4.12929,107.053955078125,106.74158477783203,106.81121063232422
89,89,1.9098863901541072,3.3474066,106.15242004394531,106.32599639892578,106.8416519165039
90,90,1.7575552983278961,3.0857015,105.92491149902344,106.93991088867188,106.95162963867188
91,91,0.04519079028155316,0.023546735,106.90684509277344,107.45204162597656,107.61107635498047
92,92,1.9817266895539296,5.553539,106.90139770507812,107.15654754638672,107.02740478515625
93,93,1.8234694159014913,5.0153694,106.90618896484375,106.75396728515625,106.519775390625
94,94,1.9201390931655846,6.198208,106.72801208496094,106.49617004394531,106.55162811279297
95,95,1.7934655717066381,4.76395,106.76736450195312,106.87688446044922,107.02685546875
96,96,2.113127649066742,4.556933,107.18413543701172,107.45091247558594,107.20217895507812
97,97,1.819583255348563,4.693172,107.9471435546875,107.19402313232422,107.24646759033203
