latent_step,raw_frame_idx,rms_contrast,optical_flow,unpredictability_h2_euclidean,unpredictability_h4_euclidean,unpredictability_h8_euclidean
0,0,0.4277359578923581,0.36809212,109.21247100830078,106.02227783203125,105.85433197021484
1,4,0.3065750671697019,0.27204847,108.64859008789062,105.82758331298828,106.46214294433594
2,8,0.009152405922983073,0.008051725,105.86766815185547,105.6151123046875,105.4949722290039
3,12,0.32897833127545983,0.254439,105.4976806640625,105.56524658203125,105.76334381103516
4,16,0.32597129602299074,0.2600168,106.13656616210938,106.00999450683594,106.27668762207031
5,20,0.47258588830179676,0.23224552,106.20944213867188,106.41815948486328,106.60688781738281
6,24,0.4404707572059304,0.4050784,105.25775146484375,105.69550323486328,105.98495483398438
7,28,0.4420738566632443,0.516216,106.27706909179688,106.96823120117188,107.5767593383789
8,32,0.3323152112839411,0.32382363,107.29532623291016,107.23731994628906,106.7113265991211
9,36,0.2912850196389302,0.2088497,108.37715911865234,108.23634338378906,107.57054138183594
10,40,0.175417158767329,0.16520773,105.72345733642578,109.53682708740234,109.34827423095703
11,44,0.31090030082510733,0.23430851,106.27415466308594,105.86705017089844,105.49590301513672
12,48,0.3439698640358681,0.32387936,106.497314453125,106.17941284179688,106.10818481445312
13,52,0.26286811479127714,0.23972982,105.80522155761719,105.73709106445312,106.00324249267578
14,56,0.3360663363513664,0.28000626,105.80424499511719,105.39248657226562,105.60842895507812
15,60,0.33895572523528433,0.2528683,106.03829956054688,108.69281005859375,109.25437927246094
16,64,0.45770442279681434,0.4832628,105.33546447753906,105.48872375488281,105.19007110595703
17,68,0.33770050753174047,0.27978346,109.32432556152344,106.83348083496094,105.72357940673828
18,72,0.009584275594625902,0.0059435675,106.18890380859375,107.47462463378906,107.96541595458984
19,76,0.537012503777113,0.5521306,105.7612533569336,108.59440612792969,107.20905303955078
20,80,0.64382142510496,0.6809492,105.12203979492188,104.99449920654297,104.61526489257812
21,84,0.5506132166127011,0.51985884,107.88502502441406,106.6352310180664,105.88016510009766
22,88,0.5418495832706279,0.6500452,106.515869140625,104.7082748413086,104.45602416992188
23,92,1.6007488483064773,0.72145486,104.7504653930664,104.6163101196289,104.53301239013672
24,96,1.7346423931562756,3.213991,105.3878173828125,104.53636169433594,105.06571960449219
25,100,1.969101353055849,4.098916,102.98359680175781,102.81466674804688,103.50642395019531
26,104,1.7016500306188929,2.8163974,104.16938781738281,104.3062515258789,104.68260192871094
27,108,1.9201390931655846,6.198208,106.14570617675781,106.2950210571289,106.08023834228516
28,112,1.7575552983278961,3.0857015,105.2159423828125,107.74117279052734,108.53453826904297
29,116,1.7451256264918338,1.269907,104.85246276855469,105.21309661865234,105.32881927490234
30,120,1.2121782650027735,1.2918601,106.01688385009766,105.37655639648438,105.64590454101562
31,124,0.00015766160687422456,0.00053956406,106.45417022705078,105.74044036865234,106.01203918457031
32,128,0.9325164207639399,0.773621,105.48458862304688,105.73729705810547,105.68014526367188
33,132,1.0160405695161752,0.81848454,106.81399536132812,106.76266479492188,107.46058654785156
34,136,0.9275444419703635,0.63043255,106.01522827148438,106.03105926513672,105.46004486083984
35,140,1.0744638836261418,0.7648055,109.80724334716797,109.24879455566406,108.45899963378906
36,144,0.9967882112655214,0.72466266,106.66524505615234,106.573486328125,105.8927001953125
37,148,0.8815639152495077,0.7201733,107.50418090820312,107.01617431640625,106.31061553955078
38,152,1.1927325662629085,0.8934213,105.89628601074219,105.35401916503906,105.00430297851562
39,156,1.2619944568857777,0.9590862,105.84910583496094,104.44161987304688,104.02239990234375
40,160,0.9152131850523799,0.6077901,103.97859191894531,104.62893676757812,103.95068359375
41,164,1.055314416475161,0.66748303,105.17576599121094,105.48099517822266,105.25545501708984
42,168,0.8439695859969751,0.6064637,105.1587905883789,105.09085083007812,104.53889465332031
43,172,0.900471583858334,0.74424726,104.76289367675781,104.21994018554688,104.09783172607422
44,176,0.7573191943967438,0.54572076,104.60942840576172,103.97270965576172,103.98086547851562
