latent_step,raw_frame_idx,rms_contrast,optical_flow,unpredictability_h1_euclidean,unpredictability_h2_euclidean,unpredictability_h3_euclidean
0,0,0.41704086520708644,0.70566547,112.35636138916016,112.12388610839844,112.00029754638672
1,1,0.4475307321715315,0.61142325,109.05026245117188,108.91331481933594,108.88523864746094
2,2,0.4292887031434582,0.45781416,108.97908020019531,108.98776245117188,108.95972442626953
3,3,0.4273399909654429,0.4774117,112.31407928466797,111.85256958007812,111.58724975585938
4,4,0.35376364704750773,0.31867558,112.18201446533203,112.10775756835938,111.99010467529297
5,5,0.3577293146294744,0.22918054,111.5494613647461,111.3736801147461,111.25433349609375
6,6,0.36983079659627704,0.24206379,111.97052001953125,111.87564086914062,111.75794219970703
7,7,0.0007691403450968172,0.0012619661,110.51184844970703,110.38134765625,110.31199645996094
8,8,0.4547971349685252,0.31464773,111.36540985107422,111.37877655029297,111.31089782714844
9,9,0.2878043910592108,0.21209297,109.06205749511719,109.08306884765625,108.92338562011719
10,10,0.35815221967311345,0.35433483,112.00811004638672,112.05020904541016,111.94317626953125
11,11,0.44774397670521776,0.66156554,112.11978149414062,111.94684600830078,111.86239624023438
12,12,0.3868461775974955,0.6549012,109.60006713867188,109.82848358154297,109.32675170898438
13,13,0.42777251822977147,0.8405783,112.3403091430664,112.22689056396484,112.06070709228516
14,14,0.33657354639376996,0.54319113,111.19235229492188,110.73448181152344,110.54827117919922
15,15,0.3047727316626659,0.290882,108.26712799072266,108.28324127197266,108.0615234375
16,16,0.6448063224420706,0.7816829,109.8228530883789,109.67134857177734,109.77910614013672
17,17,0.7920627467278231,1.1130142,109.56220245361328,110.09011840820312,110.15611267089844
18,18,0.449742447291375,0.5006409,110.70232391357422,110.51498413085938,110.45420837402344
19,19,0.009513449551832155,0.001204654,109.74774169921875,109.70243835449219,109.71138000488281
20,20,0.4104422462216139,0.71136135,107.63140106201172,107.77181243896484,107.79953002929688
21,21,0.6445175918349605,1.0172217,112.97802734375,112.95858764648438,112.91405487060547
22,22,0.5164433116261672,0.57684726,109.85525512695312,109.68380737304688,109.43059539794922
23,23,0.5510155902248827,0.46224853,112.3531494140625,112.07188415527344,111.98126220703125
24,24,0.34868200631680857,0.24261706,111.69950866699219,111.71782684326172,111.74152374267578
25,25,0.43990812747708935,0.37568915,111.87516784667969,111.91709899902344,111.82962036132812
26,26,0.4286463445885686,0.5275368,110.90411376953125,110.67393493652344,110.52906036376953
27,27,0.6096759498862161,0.5924108,108.89237213134766,108.67172241210938,108.4637680053711
28,28,0.3826981624951153,0.20185024,111.79901885986328,111.62726593017578,111.65078735351562
29,29,0.40766079770032493,0.26033673,107.33773803710938,107.52909088134766,107.47938537597656
30,30,0.3890943392007029,0.23349677,111.05056762695312,110.92123413085938,110.87535095214844
31,31,0.06398170529613202,0.02837391,108.6969223022461,108.7501449584961,108.95220184326172
32,32,0.34620436009847216,0.24454416,108.22010803222656,108.4495849609375,108.37386322021484
33,33,0.3258558582181679,0.3086973,111.31637573242188,110.95813751220703,110.57300567626953
34,34,0.3805161486150942,0.2616949,109.99239349365234,109.80508422851562,109.572265625
35,35,0.43076017515190046,0.23221207,112.70361328125,112.67877197265625,112.54248046875
36,36,0.48117606539257096,0.5242487,113.01879119873047,111.7646713256836,110.515380859375
37,37,0.37692145926793413,0.3226739,107.93351745605469,107.98522186279297,107.85405731201172
38,38,0.3263269879567258,0.29931486,113.00863647460938,112.58573913574219,112.21064758300781
39,39,0.30585265802986367,0.30923504,112.42306518554688,112.28845977783203,112.21092224121094
40,40,0.3248112267623551,0.26024348,112.13973236083984,112.02791595458984,111.9466781616211
41,41,0.46020671164825694,0.21158583,107.73147583007812,107.93575286865234,107.9390640258789
42,42,0.4108370831384857,0.18004633,107.70719146728516,107.81185913085938,108.06078338623047
43,43,0.06043940348830912,0.019238634,113.90996551513672,113.33318328857422,111.82450103759766
44,44,0.3117179977863534,0.20188048,112.31118774414062,112.1236572265625,112.04847717285156
45,45,0.2479314040347674,0.1687576,108.06649780273438,108.0561752319336,108.00067138671875
46,46,0.3490181706273057,0.23600096,108.9784927368164,108.76709747314453,108.88727569580078
47,47,0.39390085822579324,0.34448242,108.35836791992188,108.64384460449219,108.6982421875
48,48,0.2812510484142855,0.29431883,114.91936492919922,114.48912048339844,114.21337890625
