latent_step,raw_frame_idx,rms_contrast,optical_flow,unpredictability_h4_euclidean,unpredictability_h8_euclidean,unpredictability_h12_euclidean
0,0,0.41704086520708644,0.70566547,111.8810806274414,111.1915512084961,110.77393341064453
1,1,0.4475307321715315,0.61142325,108.81563568115234,108.71558380126953,108.66910552978516
2,2,0.4292887031434582,0.45781416,109.05611419677734,109.42355346679688,109.85726165771484
3,3,0.4273399909654429,0.4774117,111.37724304199219,111.03565216064453,110.95115661621094
4,4,0.35376364704750773,0.31867558,111.81582641601562,110.95855712890625,111.48468780517578
5,5,0.3577293146294744,0.22918054,111.17813110351562,111.10171508789062,111.0609359741211
6,6,0.36983079659627704,0.24206379,111.64085388183594,111.23001098632812,110.95869445800781
7,7,0.0007691403450968172,0.0012619661,110.26834106445312,110.28656768798828,110.25897216796875
8,8,0.4547971349685252,0.31464773,111.35575866699219,111.1803207397461,110.88976287841797
9,9,0.2878043910592108,0.21209297,108.79287719726562,108.6839599609375,108.66093444824219
10,10,0.35815221967311345,0.35433483,111.82267761230469,111.18041229248047,110.72856903076172
11,11,0.44774397670521776,0.66156554,111.78485870361328,111.05746459960938,110.74447631835938
12,12,0.3868461775974955,0.6549012,109.15628814697266,108.89913177490234,109.01276397705078
13,13,0.42777251822977147,0.8405783,111.84976196289062,111.22332000732422,110.9024429321289
14,14,0.33657354639376996,0.54319113,110.43238830566406,109.94717407226562,109.61627960205078
15,15,0.3047727316626659,0.290882,108.054931640625,108.09074401855469,108.20278930664062
16,16,0.6448063224420706,0.7816829,109.73912048339844,109.46852111816406,109.15858459472656
17,17,0.7920627467278231,1.1130142,110.17623901367188,109.84879302978516,109.58586883544922
18,18,0.449742447291375,0.5006409,110.38233947753906,109.94033813476562,109.62238311767578
19,19,0.009513449551832155,0.001204654,109.79037475585938,110.01136016845703,110.21730041503906
20,20,0.4104422462216139,0.71136135,107.7630844116211,107.70700073242188,107.75321197509766
21,21,0.6445175918349605,1.0172217,112.76764678955078,112.33631134033203,112.0086441040039
22,22,0.5164433116261672,0.57684726,109.3223648071289,109.18812561035156,109.13105773925781
23,23,0.5510155902248827,0.46224853,111.93470764160156,111.31810760498047,110.94520568847656
24,24,0.34868200631680857,0.24261706,111.655029296875,111.08683776855469,110.70703887939453
25,25,0.43990812747708935,0.37568915,111.71380615234375,111.33262634277344,110.96600341796875
26,26,0.4286463445885686,0.5275368,110.34973907470703,109.76361846923828,108.2939453125
27,27,0.6096759498862161,0.5924108,108.62435913085938,109.02206420898438,109.47480010986328
28,28,0.3826981624951153,0.20185024,111.6375961303711,111.30258178710938,110.93682861328125
29,29,0.40766079770032493,0.26033673,107.46369171142578,107.29252624511719,107.28598022460938
30,30,0.3890943392007029,0.23349677,110.88179779052734,110.29802703857422,110.14390563964844
31,31,0.06398170529613202,0.02837391,108.95941162109375,108.95696258544922,108.74993896484375
32,32,0.34620436009847216,0.24454416,108.29463195800781,108.32691955566406,108.37652587890625
33,33,0.3258558582181679,0.3086973,110.35169219970703,109.99773406982422,109.21894073486328
34,34,0.3805161486150942,0.2616949,109.44296264648438,109.05973815917969,108.93370056152344
35,35,0.43076017515190046,0.23221207,112.51071166992188,111.86980438232422,111.55245208740234
36,36,0.48117606539257096,0.5242487,109.97586059570312,109.5959243774414,109.66451263427734
37,37,0.37692145926793413,0.3226739,107.79131317138672,107.81472778320312,107.92517852783203
38,38,0.3263269879567258,0.29931486,111.91944885253906,111.30158996582031,110.68206787109375
39,39,0.30585265802986367,0.30923504,112.13320922851562,111.84149932861328,111.60125732421875
40,40,0.3248112267623551,0.26024348,111.87916564941406,111.4664306640625,111.174560546875
41,41,0.46020671164825694,0.21158583,107.93501281738281,108.10498046875,108.26920318603516
42,42,0.4108370831384857,0.18004633,107.8625717163086,107.89266967773438,108.10643005371094
43,43,0.06043940348830912,0.019238634,111.41056060791016,110.89723205566406,110.05958557128906
44,44,0.3117179977863534,0.20188048,111.84950256347656,111.5008316040039,111.1663589477539
45,45,0.2479314040347674,0.1687576,108.05687713623047,108.47173309326172,108.33467864990234
46,46,0.3490181706273057,0.23600096,108.88125610351562,108.8561782836914,108.99290466308594
47,47,0.39390085822579324,0.34448242,108.74713134765625,108.57569885253906,108.48160552978516
48,48,0.2812510484142855,0.29431883,113.979248046875,113.26376342773438,112.67630004882812
49,49,0.43519476233668736,0.36966798,110.67745971679688,110.14263153076172,110.11000061035156
50,50,0.3659537859408136,0.29337204,113.27882385253906,113.85907745361328,113.86175537109375
51,51,0.3864862069714199,0.23525074,108.22034454345703,108.06041717529297,108.17647552490234
52,52,0.435474610917954,0.39138517,108.43148803710938,108.5121078491211,108.70138549804688
53,53,0.7825409372204687,1.1894212,111.1185073852539,110.46401977539062,110.4585952758789
54,54,0.6681476215136916,1.4298329,110.74069213867188,110.1396713256836,110.11476135253906
55,55,0.0,0.0002312341,111.43069458007812,110.99618530273438,110.57735443115234
56,56,0.5918605396488167,1.2278731,110.61045837402344,110.01322937011719,109.61251068115234
57,57,0.567371559742327,1.2265476,111.4344711303711,111.03563690185547,110.73700714111328
58,58,0.51344834898208,0.8908013,113.72390747070312,114.02581024169922,113.884521484375
59,59,0.4343907478181065,0.41392234,110.662109375,111.37335968017578,111.66393280029297
60,60,0.588564574321794,0.7242939,112.01895904541016,111.6935043334961,111.41543579101562
61,61,0.73548373049055,1.1437676,108.57582092285156,109.58377075195312,109.0626449584961
62,62,0.7529562950438083,1.146806,109.69113159179688,109.80307006835938,109.70361328125
63,63,0.7316766995270954,1.3388538,109.6421127319336,109.6648941040039,109.40946960449219
64,64,0.6494557946479473,1.3467994,106.73664093017578,106.8294677734375,106.80228424072266
65,65,0.6556253314837865,1.2420522,111.80581665039062,111.25423431396484,110.97325897216797
66,66,0.5250930784426975,0.9199702,111.77249145507812,111.17839813232422,110.95332336425781
67,67,0.0,0.00061999954,110.99050903320312,110.12919616699219,109.59199523925781
68,68,0.49281444211921305,0.89117706,108.33474731445312,108.17256164550781,110.27486419677734
69,69,0.7402099418086704,1.3311574,107.7618637084961,108.01412963867188,108.20052337646484
70,70,0.6211129273750088,1.2205633,107.2401123046875,107.52668762207031,107.75084686279297
71,71,0.9043592191524538,1.7308692,108.59194946289062,108.74945068359375,109.50038146972656
72,72,0.5969352903539753,1.5236874,108.47159576416016,108.47016906738281,108.48534393310547
73,73,0.609646720477186,1.3374574,109.46910095214844,108.87265014648438,108.79930114746094
74,74,0.4275643533720729,0.81517875,108.3277816772461,108.73355102539062,108.9486312866211
75,75,0.5978096129382104,0.95430404,110.49504089355469,110.11652374267578,109.90107727050781
76,76,0.5215940888173679,0.7738682,109.67933654785156,109.53617095947266,109.8258285522461
77,77,0.5555253017032491,0.9460622,113.82625579833984,114.33154296875,114.47314453125
78,78,0.5876047820253453,0.8656633,113.87187957763672,114.33859252929688,114.47516632080078
79,79,0.07371797963113501,0.035710968,109.25840759277344,110.42047882080078,111.45347595214844
80,80,0.5624616397195098,0.8072214,109.78048706054688,108.5963134765625,108.46432495117188
81,81,0.6903593136099819,1.1513064,109.9267807006836,110.30766296386719,110.64183807373047
82,82,0.5365698121433912,0.8584257,110.99173736572266,110.71051788330078,110.5594253540039
83,83,0.42736204800159455,0.7226714,111.97435760498047,111.75611877441406,111.58226013183594
84,84,0.4890782893544295,0.4549209,111.77842712402344,111.65654754638672,111.39960479736328
85,85,0.4967860888311394,0.44230133,108.1524887084961,108.13751220703125,108.02363586425781
86,86,0.5428925243665332,0.3999424,108.44865417480469,108.67901611328125,108.63829803466797
87,87,0.7024719671103529,0.65918064,111.78895568847656,111.5301513671875,111.013427734375
88,88,0.7054963103817378,0.5564738,112.23896026611328,111.88032531738281,111.55879974365234
89,89,0.7970033286419368,0.80548644,111.85421752929688,111.39350891113281,110.99761199951172
90,90,0.6117674056340474,0.8573754,112.14669036865234,111.62191772460938,111.22875213623047
91,91,0.0010274864075010262,0.00021828938,110.32115936279297,109.95562744140625,109.59264373779297
92,92,0.6134663370006176,0.60583276,109.23501586914062,109.12698364257812,109.36531829833984
93,93,0.48200193873940445,0.42306498,110.49954986572266,109.95447540283203,109.55366516113281
94,94,0.5235059023324328,0.4519222,108.91423034667969,108.41680908203125,108.60519409179688
95,95,0.46902403322926584,0.38035282,110.14193725585938,109.72490692138672,109.21363067626953
96,96,0.5452643733041482,0.47001287,110.28927612304688,109.95603942871094,109.06891632080078
97,97,0.5373885272553516,0.5037883,110.64238739013672,110.3311767578125,109.64659118652344
98,98,0.5360209897198385,0.8656654,110.88766479492188,110.51774597167969,110.19147491455078
99,99,0.6157609697649781,1.1850978,110.28616333007812,110.43888092041016,110.01614379882812
100,100,0.6803443344350351,1.4129621,108.80123138427734,108.70984649658203,108.65724182128906
101,101,0.612309832630691,0.87763786,109.19298553466797,109.07783508300781,109.04166412353516
102,102,0.7024697757700835,0.4614743,109.44551849365234,109.36646270751953,109.27193450927734
103,103,0.0,0.00021306594,108.3957748413086,108.16360473632812,108.2122573852539
104,104,0.42080840199408,0.726221,108.33200073242188,108.20280456542969,108.22647857666016
105,105,0.477243256379308,1.0012523,107.73971557617188,107.89743041992188,108.00035095214844
106,106,0.5511619818493316,1.0384153,107.2006607055664,107.06300354003906,106.93539428710938
