latent_step,raw_frame_idx,rms_contrast,optical_flow,unpredictability_h4_euclidean,unpredictability_h8_euclidean,unpredictability_h12_euclidean
0,0,0.3890943392007029,0.23349677,106.28223419189453,106.44314575195312,106.55281829833984
1,4,0.3805161486150942,0.2616949,106.32506561279297,106.28584289550781,106.29080200195312
2,8,0.3263269879567258,0.29931486,107.55027770996094,107.19309997558594,106.9447250366211
3,12,0.4108370831384857,0.18004633,107.98445892333984,107.68461608886719,107.45609283447266
4,16,0.3490181706273057,0.23600096,107.98550415039062,107.72119140625,107.51677703857422
5,20,0.3659537859408136,0.29337204,104.11575317382812,103.92338562011719,103.98615264892578
6,24,0.6681476215136916,1.4298329,106.40096282958984,105.94590759277344,105.39788818359375
7,28,0.51344834898208,0.8908013,107.76359558105469,107.63421630859375,107.57382202148438
8,32,0.7529562950438083,1.146806,106.35740661621094,105.81443786621094,105.61299133300781
9,36,0.5250930784426975,0.9199702,107.69062805175781,107.31891632080078,107.07855224609375
10,40,0.6211129273750088,1.2205633,103.96560668945312,104.05081176757812,104.11890411376953
11,44,0.4275643533720729,0.81517875,104.69532012939453,104.9633560180664,105.10602569580078
12,48,0.5876047820253453,0.8656633,107.64319610595703,107.61734771728516,107.60862731933594
13,52,0.5365698121433912,0.8584257,103.182373046875,103.06792449951172,103.03746795654297
14,56,0.5428925243665332,0.3999424,108.43046569824219,108.37842559814453,108.34610748291016
15,60,0.6117674056340474,0.8573754,104.48468780517578,104.73080444335938,104.88089752197266
16,64,0.5235059023324328,0.4519222,107.87532043457031,107.54754638671875,107.14227294921875
17,68,0.5360209897198385,0.8656654,103.42674255371094,103.57209777832031,103.74510192871094
18,72,0.7024697757700835,0.4614743,109.2018814086914,109.18492126464844,109.18292236328125
19,76,0.5511619818493316,1.0384153,107.98845672607422,108.03341674804688,108.03397369384766
20,80,0.5302530508088265,0.53736126,105.02503204345703,107.85189819335938,107.28497314453125
21,84,0.49231180329460345,0.8044183,106.76506042480469,106.41484832763672,106.20869445800781
22,88,0.7198059448419191,1.6358554,103.7815933227539,103.57925415039062,103.33778381347656
23,92,0.5940416819408869,0.98378396,104.2450180053711,103.79324340820312,103.66767883300781
24,96,0.8452311535203003,1.6823597,105.02955627441406,107.56748962402344,107.67896270751953
25,100,0.41862876142469224,0.59753776,106.29867553710938,106.22484588623047,106.18289184570312
26,104,0.6402044302853035,1.3824509,106.38451385498047,106.27169799804688,106.24971771240234
27,108,0.4094163649028932,0.38862097,106.69473266601562,106.65587615966797,106.71131134033203
28,112,0.4715716842666456,0.75980735,106.05754852294922,106.0980224609375,106.17420959472656
29,116,0.43601360233857867,0.28578177,106.76285552978516,107.1832504272461,107.42537689208984
30,120,0.4132869955411113,0.4492872,105.80429077148438,106.00517272949219,106.1611328125
31,124,0.5215353092294369,0.5161177,105.89151763916016,105.84973907470703,105.86345672607422
32,128,0.5044450427568565,0.75945103,107.84627532958984,107.50772857666016,107.28752899169922
