latent_step,raw_frame_idx,rms_contrast,optical_flow,unpredictability_h4_euclidean,unpredictability_h8_euclidean,unpredictability_h12_euclidean
0,0,0.3890943392007029,0.23349677,105.76409149169922,105.64924621582031,105.67648315429688
1,4,0.3805161486150942,0.2616949,106.81977081298828,106.377685546875,106.29535675048828
2,8,0.3263269879567258,0.29931486,108.01554107666016,107.396728515625,106.94261932373047
3,12,0.4108370831384857,0.18004633,107.02385711669922,106.62679290771484,106.19215393066406
4,16,0.3490181706273057,0.23600096,107.06780242919922,106.80237579345703,106.51403045654297
5,20,0.3659537859408136,0.29337204,104.03045654296875,103.88245391845703,103.93138885498047
6,24,0.6681476215136916,1.4298329,107.32453155517578,106.68163299560547,106.23149871826172
7,28,0.51344834898208,0.8908013,107.61602020263672,107.26012420654297,107.35691833496094
8,32,0.7529562950438083,1.146806,106.45482635498047,105.81703186035156,105.67315673828125
9,36,0.5250930784426975,0.9199702,106.84838104248047,106.48351287841797,106.21768188476562
10,40,0.6211129273750088,1.2205633,104.13675689697266,104.43350219726562,104.53115844726562
11,44,0.4275643533720729,0.81517875,104.34000396728516,104.94742584228516,104.94517517089844
12,48,0.5876047820253453,0.8656633,108.0819320678711,108.21350860595703,107.97623443603516
13,52,0.5365698121433912,0.8584257,103.66030883789062,103.5521240234375,103.39427947998047
14,56,0.5428925243665332,0.3999424,108.80520629882812,108.64065551757812,108.46073913574219
15,60,0.6117674056340474,0.8573754,104.23982238769531,104.1576919555664,104.30081939697266
16,64,0.5235059023324328,0.4519222,107.47023010253906,106.8243637084961,106.48180389404297
17,68,0.5360209897198385,0.8656654,103.46682739257812,103.43045043945312,103.72998809814453
18,72,0.7024697757700835,0.4614743,108.39102172851562,108.2033920288086,108.23819732666016
19,76,0.5511619818493316,1.0384153,107.89534759521484,108.10515594482422,108.25727844238281
20,80,0.5302530508088265,0.53736126,104.62985229492188,107.74225616455078,107.21036529541016
21,84,0.49231180329460345,0.8044183,106.35910034179688,106.23348999023438,106.12478637695312
22,88,0.7198059448419191,1.6358554,104.16888427734375,104.06887817382812,103.90863800048828
23,92,0.5940416819408869,0.98378396,104.60530853271484,104.37173461914062,104.23963928222656
24,96,0.8452311535203003,1.6823597,105.2823715209961,107.72245025634766,107.68795013427734
25,100,0.41862876142469224,0.59753776,105.74219512939453,105.58277893066406,105.34970092773438
26,104,0.6402044302853035,1.3824509,106.5578384399414,106.48768615722656,106.24179077148438
27,108,0.4094163649028932,0.38862097,106.55535125732422,106.29495239257812,106.13856506347656
28,112,0.4715716842666456,0.75980735,106.15190124511719,106.02620697021484,105.91596221923828
29,116,0.43601360233857867,0.28578177,106.50846099853516,106.66117858886719,106.7259750366211
30,120,0.4132869955411113,0.4492872,105.54618072509766,105.38766479492188,105.41239166259766
31,124,0.5215353092294369,0.5161177,105.75312042236328,105.57308959960938,105.40180206298828
32,128,0.5044450427568565,0.75945103,107.96341705322266,107.53366088867188,107.04048156738281
