latent_step,raw_frame_idx,rms_contrast,optical_flow,unpredictability_h4_euclidean,unpredictability_h8_euclidean,unpredictability_h12_euclidean
0,0,0.017314329112974376,0.00077158987,107.4237060546875,107.60639190673828,107.69922637939453
1,1,0.5808961040878518,1.1518307,109.44271850585938,109.77994537353516,109.8563003540039
2,2,0.8836031634405278,1.3749056,110.52806091308594,110.62957763671875,110.61720275878906
3,3,0.7314734041690524,1.19656,107.99574279785156,107.78271484375,107.67875671386719
4,4,0.6538244397006789,1.2169905,111.75798797607422,111.60645294189453,111.25220489501953
5,5,0.6126317203056765,1.0259361,111.50727844238281,111.06820678710938,110.63414001464844
6,6,0.5378782996650372,0.6911053,109.998779296875,109.67269897460938,109.4892578125
7,7,0.5962341947657095,0.31895423,111.30274963378906,110.87472534179688,110.55410766601562
8,8,0.5609462504693458,0.3762203,111.58963012695312,110.88131713867188,110.62930297851562
9,9,0.43399261926636457,0.4710508,110.68844604492188,110.30558013916016,109.8436508178711
10,10,0.6110471852690713,0.4795919,110.17808532714844,109.65560913085938,109.35277557373047
11,11,0.44572980890792735,0.848836,110.57894897460938,110.47930908203125,110.40460205078125
12,12,0.0,0.00025761774,109.74545288085938,109.97714233398438,109.96558380126953
13,13,0.5342813186709988,0.58484006,109.3019790649414,108.98736572265625,108.78868865966797
14,14,0.5062214287399934,0.45658132,109.66503143310547,109.47201538085938,109.46591186523438
15,15,0.4038448268006694,0.30705482,108.85047149658203,108.87627410888672,108.83201599121094
16,16,0.5212945302192673,0.35853976,109.02940368652344,108.72482299804688,108.50802612304688
17,17,0.4657531870531862,0.35302398,109.84113311767578,109.72630310058594,109.44111633300781
18,18,0.7226096676563827,0.33877826,108.96029663085938,108.60212707519531,108.29519653320312
19,19,0.771953338103288,0.57252175,110.35234069824219,110.22579193115234,109.83757781982422
20,20,0.6326902648229047,0.7307136,107.90171813964844,108.02227783203125,108.26376342773438
21,21,0.5587757254548775,0.5360459,107.29167938232422,106.86284637451172,106.75790405273438
22,22,0.5177816190774489,0.51073265,107.26050567626953,106.7711181640625,106.76699829101562
23,23,0.5281912359358402,0.34505528,106.84842681884766,106.9629898071289,107.33287811279297
24,24,0.0,0.00023190072,107.74653625488281,107.37026977539062,107.56361389160156
25,25,0.5804338826201813,0.42151886,107.52297973632812,108.35641479492188,108.18961334228516
26,26,0.5885079352382131,0.40679184,107.30778503417969,107.8870849609375,108.19003295898438
27,27,0.806843321317255,0.54081696,106.0596694946289,106.33698272705078,106.55502319335938
28,28,0.8064167507538959,0.93760556,108.33494567871094,109.01803588867188,109.17704772949219
29,29,0.8500366283337463,0.8905824,111.273681640625,110.67454528808594,110.0721206665039
30,30,0.6616428439271945,0.70183074,109.44940185546875,109.35848999023438,109.30630493164062
31,31,0.653788898453863,0.9756705,109.87736511230469,109.81350708007812,109.02825164794922
32,32,0.7000017633978666,0.6809308,105.8528060913086,105.7590560913086,105.61896514892578
33,33,0.5137109510634196,0.5427728,108.0382308959961,107.5105209350586,107.16118621826172
34,34,0.632251801068759,0.5347464,107.99654388427734,107.51275634765625,107.12643432617188
35,35,0.6004787712721276,0.42940125,108.75337219238281,108.68577575683594,108.7859878540039
36,36,0.0,0.00030588103,109.76520538330078,109.64252471923828,109.5872573852539
37,37,0.6542185498263762,0.5308796,112.18875885009766,111.6432876586914,110.47879028320312
38,38,0.5435861429843163,0.8181076,106.86544799804688,106.86692810058594,106.79847717285156
39,39,0.6005894131388541,0.7710397,107.1862564086914,107.16411590576172,106.91960906982422
40,40,0.5832626989074402,0.86688256,107.27202606201172,107.4443588256836,107.33089447021484
41,41,0.5044450427568565,0.75945103,108.57795715332031,108.21339416503906,108.14075469970703
42,42,0.5020518232314672,0.7065456,108.77447509765625,108.37077331542969,108.19773864746094
43,43,0.47643166667044007,0.42300013,109.74723815917969,109.32424926757812,109.31488037109375
44,44,0.4810780061557785,0.3220007,107.52385711669922,107.40452575683594,107.11788940429688
45,45,0.5215353092294369,0.5161177,107.42152404785156,107.46688842773438,107.08959197998047
46,46,0.4209550513721251,0.38420528,107.44242858886719,107.50027465820312,107.06626892089844
47,47,0.3929218210571356,0.35420978,108.62781524658203,108.23828125,108.11219024658203
48,48,0.0,0.00025431567,109.48883819580078,109.43470001220703,109.51622009277344
49,49,0.4132869955411113,0.4492872,108.15142822265625,108.19325256347656,108.31449890136719
50,50,0.4226310943880546,0.44917598,110.71642303466797,110.18484497070312,109.57294464111328
51,51,0.5037620051655559,0.34366918,111.77159118652344,110.83799743652344,109.83988189697266
52,52,0.4236740367843357,0.26245666,109.46292877197266,109.1919937133789,109.22030639648438
53,53,0.43601360233857867,0.28578177,109.56343078613281,110.05148315429688,111.53700256347656
54,54,0.4782267369995474,0.49722502,108.69699096679688,109.13128662109375,110.50519561767578
55,55,0.4776234392866962,0.69884837,106.62726593017578,107.28176879882812,107.53131866455078
56,56,0.5376897023579893,0.77854127,109.5331802368164,109.59445190429688,109.37943267822266
57,57,0.4715716842666456,0.75980735,109.5219955444336,109.43352508544922,108.75376892089844
58,58,0.39298583330159836,0.39298853,109.67501831054688,109.42315673828125,108.76213836669922
59,59,0.5433963207560494,0.51113003,107.19357299804688,106.13306427001953,105.87981414794922
60,60,0.0,0.00030486565,109.90585327148438,109.49706268310547,109.32989501953125
61,61,0.4094163649028932,0.38862097,108.75443267822266,108.948486328125,109.02925109863281
62,62,0.43880458977326764,0.41843027,108.8187026977539,109.12742614746094,109.10231018066406
63,63,0.5323383523863899,0.94134086,107.98735046386719,107.83123016357422,107.82903289794922
64,64,0.5989062028181378,1.1489799,108.44282531738281,108.52459716796875,108.90841674804688
65,65,0.6402044302853035,1.3824509,108.20806121826172,107.91139221191406,107.77706146240234
66,66,0.6900982362990179,1.4080302,110.1822738647461,109.84037780761719,110.49510192871094
67,67,0.6605454697103791,1.1148261,109.22985076904297,109.33023071289062,109.55525970458984
68,68,0.41122020532416437,0.4933743,109.12417602539062,109.26535034179688,109.34982299804688
69,69,0.41862876142469224,0.59753776,110.07760620117188,110.25443267822266,110.49424743652344
70,70,0.42028945816334234,0.6316907,110.13575744628906,110.27711486816406,110.58638763427734
71,71,0.5369137876215895,0.8401587,110.13809967041016,110.04427337646484,110.7642593383789
72,72,0.00024263854228701975,0.00030232753,110.21875,109.4407958984375,110.3177261352539
