latent_step,raw_frame_idx,rms_contrast,optical_flow,unpredictability_h4_euclidean,unpredictability_h8_euclidean,unpredictability_h12_euclidean
0,0,0.6616428439271945,0.70183074,104.01702117919922,104.56564331054688,104.87377166748047
1,4,0.632251801068759,0.5347464,106.72990417480469,106.44493865966797,106.23877716064453
2,8,0.5435861429843163,0.8181076,106.5911636352539,106.8043212890625,106.94269561767578
3,12,0.5020518232314672,0.7065456,106.74715423583984,106.5650634765625,106.45850372314453
4,16,0.4209550513721251,0.38420528,106.45425415039062,106.36006164550781,106.3440933227539
5,20,0.4226310943880546,0.44917598,106.31928253173828,105.80950164794922,105.54271697998047
6,24,0.4782267369995474,0.49722502,103.9926986694336,104.13740539550781,104.28919219970703
7,28,0.39298583330159836,0.39298853,103.7171859741211,105.00234985351562,106.42997741699219
8,32,0.43880458977326764,0.41843027,106.5211181640625,106.5387954711914,106.51258850097656
9,36,0.6900982362990179,1.4080302,106.40534210205078,106.16531372070312,106.11119842529297
10,40,0.42028945816334234,0.6316907,104.10904693603516,105.44961547851562,105.50321960449219
11,44,0.9334161308390748,2.0149937,104.7728271484375,104.52593231201172,104.34880828857422
12,48,0.7570063033985398,0.9159119,104.92339324951172,104.91580963134766,104.97947692871094
13,52,0.7538981375838583,0.9649816,104.47933959960938,104.47689056396484,104.49853515625
14,56,0.4501888659357677,0.55374885,106.18842315673828,105.8741226196289,105.78907775878906
15,60,0.5142363378412278,0.93204427,106.00955200195312,106.29965209960938,106.36919403076172
16,64,0.477243256379308,1.0012523,106.63459014892578,106.33122253417969,106.2273941040039
17,68,0.612309832630691,0.87763786,107.16502380371094,106.8861083984375,106.70236206054688
18,72,0.5373885272553516,0.5037883,106.70683288574219,106.16488647460938,106.19642639160156
19,76,0.48200193873940445,0.42306498,105.09261322021484,104.97872161865234,104.89830017089844
20,80,0.7970033286419368,0.80548644,105.43729400634766,105.58576202392578,105.55526733398438
21,84,0.4967860888311394,0.44230133,107.85951232910156,107.58724212646484,107.41800689697266
22,88,0.6903593136099819,1.1513064,107.65494537353516,107.4043197631836,107.26609802246094
23,92,0.5555253017032491,0.9460622,105.71633911132812,105.74627685546875,105.85066986083984
24,96,0.609646720477186,1.3374574,104.69326782226562,104.8211669921875,104.90067291259766
25,100,0.7402099418086704,1.3311574,105.21293640136719,105.84937286376953,106.14635467529297
26,104,0.6556253314837865,1.2420522,106.31547546386719,106.61550903320312,106.8290023803711
27,108,0.73548373049055,1.1437676,107.02114868164062,107.42240142822266,107.65410614013672
28,112,0.567371559742327,1.2265476,105.48210144042969,105.08927917480469,104.87669372558594
29,116,0.7825409372204687,1.1894212,104.03359985351562,103.9032211303711,103.88170623779297
30,120,0.43519476233668736,0.36966798,106.78071594238281,107.24750518798828,107.72040557861328
31,124,0.2479314040347674,0.1687576,109.21517944335938,108.8961181640625,108.62822723388672
32,128,0.46020671164825694,0.21158583,105.90599060058594,105.43309020996094,105.2119140625
