latent_step,raw_frame_idx,rms_contrast,optical_flow,unpredictability_h4_euclidean,unpredictability_h8_euclidean,unpredictability_h12_euclidean
0,0,0.6616428439271945,0.70183074,103.59085083007812,104.24671936035156,104.45650482177734
1,4,0.632251801068759,0.5347464,106.9188003540039,106.45401000976562,106.17725372314453
2,8,0.5435861429843163,0.8181076,107.46955871582031,107.48455047607422,107.52020263671875
3,12,0.5020518232314672,0.7065456,106.72067260742188,106.31480407714844,106.11196899414062
4,16,0.4209550513721251,0.38420528,105.67581176757812,105.32374572753906,105.32887268066406
5,20,0.4226310943880546,0.44917598,105.76226043701172,105.2177505493164,105.0813980102539
6,24,0.4782267369995474,0.49722502,104.02326965332031,104.17379760742188,104.58025360107422
7,28,0.39298583330159836,0.39298853,103.60465240478516,104.6436996459961,106.21012115478516
8,32,0.43880458977326764,0.41843027,106.99260711669922,107.1791763305664,107.44648742675781
9,36,0.6900982362990179,1.4080302,106.28671264648438,106.33938598632812,106.49200439453125
10,40,0.42028945816334234,0.6316907,103.55210876464844,105.21319580078125,105.5888671875
11,44,0.9334161308390748,2.0149937,105.12976837158203,105.07455444335938,105.03479766845703
12,48,0.7570063033985398,0.9159119,105.48675537109375,105.76261901855469,105.877685546875
13,52,0.7538981375838583,0.9649816,105.3302230834961,105.46891784667969,105.39165496826172
14,56,0.4501888659357677,0.55374885,105.83248901367188,105.6868896484375,105.38558959960938
15,60,0.5142363378412278,0.93204427,106.24081420898438,106.6048812866211,106.49654388427734
16,64,0.477243256379308,1.0012523,106.67363739013672,106.2938232421875,106.14971923828125
17,68,0.612309832630691,0.87763786,107.79651641845703,107.27676391601562,107.12822723388672
18,72,0.5373885272553516,0.5037883,106.29928588867188,105.31785583496094,105.48755645751953
19,76,0.48200193873940445,0.42306498,104.99076843261719,104.69828033447266,104.79865264892578
20,80,0.7970033286419368,0.80548644,105.70953369140625,105.91178131103516,106.08187103271484
21,84,0.4967860888311394,0.44230133,107.02855682373047,106.9156494140625,107.11709594726562
22,88,0.6903593136099819,1.1513064,107.06111145019531,107.25892639160156,107.39617919921875
23,92,0.5555253017032491,0.9460622,105.76596069335938,106.16677856445312,106.55839538574219
24,96,0.609646720477186,1.3374574,105.561767578125,106.12955474853516,106.26548767089844
25,100,0.7402099418086704,1.3311574,105.54031372070312,106.64987182617188,106.99446868896484
26,104,0.6556253314837865,1.2420522,106.26364135742188,106.69512939453125,106.80956268310547
27,108,0.73548373049055,1.1437676,106.79874420166016,107.48468017578125,107.50347137451172
28,112,0.567371559742327,1.2265476,106.66162109375,106.07917022705078,105.66939544677734
29,116,0.7825409372204687,1.1894212,103.83077239990234,103.54953002929688,103.24956512451172
30,120,0.43519476233668736,0.36966798,107.08536529541016,107.32594299316406,107.72808074951172
31,124,0.2479314040347674,0.1687576,108.11721801757812,107.39019012451172,107.07408142089844
32,128,0.46020671164825694,0.21158583,106.06959533691406,105.33786010742188,105.15441131591797
