latent_step,raw_frame_idx,rms_contrast,optical_flow,unpredictability_h4_cosine,unpredictability_h4_euclidean,unpredictability_h8_cosine,unpredictability_h8_euclidean,unpredictability_h12_cosine,unpredictability_h12_euclidean
0,0,48.13900053103544,0.70183074,0.47980552911758423,57.04174041748047,0.4955901503562927,57.65599822998047,0.5203240513801575,58.27427291870117
1,4,48.33899014160485,0.5347464,0.6610982418060303,62.55018615722656,0.6443708539009094,62.04062271118164,0.6365079879760742,61.64548873901367
2,8,47.96889146679663,0.8181078,0.6777089834213257,63.1777229309082,0.6824315786361694,63.45882034301758,0.6902859210968018,63.55324172973633
3,12,47.885539097363555,0.7065456,0.6496446132659912,62.24959182739258,0.6486417651176453,62.25325393676758,0.6547123193740845,62.111419677734375
4,16,48.04943738673974,0.38420528,0.5673885345458984,59.918052673339844,0.5626184940338135,59.57646560668945,0.5643962621688843,59.27919387817383
5,20,47.984605733970135,0.44917598,0.5802327990531921,60.19108963012695,0.5507199168205261,59.062408447265625,0.5370513796806335,58.399959564208984
6,24,47.84435447301603,0.49722496,0.49862492084503174,57.53627014160156,0.5180338621139526,57.83164978027344,0.527646005153656,57.94326400756836
7,28,48.36331491181426,0.39298853,0.5081963539123535,58.054542541503906,0.5106704235076904,57.667503356933594,0.5013936758041382,57.35673904418945
8,32,48.10627698215286,0.41843027,0.6659957766532898,62.54644775390625,0.6703369617462158,62.27829360961914,0.6726069450378418,62.37626647949219
9,36,47.786218132226104,1.4080302,0.6449341177940369,61.707550048828125,0.6333034634590149,61.02265930175781,0.6263473629951477,60.923095703125
10,40,47.46468796392215,0.6316907,0.47099870443344116,56.59132766723633,0.5557734966278076,58.687870025634766,0.5628040432929993,59.048282623291016
11,44,47.51603500471003,2.0149937,0.5608072280883789,58.596961975097656,0.5456317663192749,58.266727447509766,0.5410167574882507,58.33125305175781
12,48,47.53146880243706,0.915912,0.5623185634613037,58.526756286621094,0.5617726445198059,58.80604934692383,0.5642375946044922,59.06805419921875
13,52,47.01609902088178,0.9649815,0.5134531855583191,57.219120025634766,0.5260496139526367,57.95439910888672,0.5269792675971985,58.031131744384766
14,56,47.02289292723234,0.55374885,0.5537058115005493,58.45393371582031,0.5343005657196045,58.29371643066406,0.5267351865768433,58.23133850097656
15,60,46.38282321420836,0.93204427,0.6461963653564453,61.382205963134766,0.6402977705001831,61.46162414550781,0.6383700966835022,61.3285026550293
16,64,46.15345231299867,1.0012523,0.615321159362793,60.74974060058594,0.6008776426315308,60.42879104614258,0.5992591977119446,60.20402908325195
17,68,45.82307177870174,0.87763786,0.6657078266143799,62.443336486816406,0.6578933000564575,62.129886627197266,0.6518693566322327,61.72555923461914
18,72,46.13085853053115,0.50378823,0.5336097478866577,58.589656829833984,0.5399245023727417,58.634613037109375,0.5433008670806885,58.4586181640625
19,76,46.03814161077029,0.42306495,0.4812985062599182,57.142337799072266,0.482473224401474,57.04030227661133,0.4839209020137787,56.858585357666016
20,80,45.84796006748121,0.80548644,0.5398105382919312,58.65576934814453,0.5627050399780273,58.998779296875,0.5628892779350281,58.95683288574219
21,84,46.10602261300213,0.44230136,0.649458646774292,61.962913513183594,0.6358003616333008,61.23206329345703,0.6343302726745605,61.14091110229492
22,88,46.94634875901123,1.1513064,0.6721184253692627,62.7231330871582,0.662589430809021,62.139957427978516,0.6583399176597595,62.025299072265625
23,92,45.98666014248049,0.9460623,0.597529947757721,59.9919548034668,0.6022007465362549,59.94160079956055,0.6086430549621582,60.25141525268555
24,96,45.73760869916447,1.3374574,0.5652096271514893,58.760498046875,0.5832772850990295,59.402435302734375,0.5896112322807312,59.667362213134766
25,100,45.759646087362526,1.3311574,0.5473910570144653,58.25495529174805,0.5977928638458252,59.80516815185547,0.6145257949829102,60.404666900634766
26,104,45.75618819347037,1.2420522,0.5848013758659363,59.26530838012695,0.6003430485725403,59.89816665649414,0.6076734066009521,60.23432922363281
27,108,45.312021533223046,1.1437676,0.5928703546524048,59.502052307128906,0.6197736859321594,60.54261779785156,0.6298732161521912,60.91787338256836
28,112,44.864011772805114,1.2265476,0.6064119338989258,60.177101135253906,0.5729116797447205,59.27973937988281,0.5657562613487244,59.09915542602539
29,116,44.780907972198854,1.1894213,0.3912853002548218,53.36766052246094,0.3846648633480072,53.26917266845703,0.386401504278183,53.429107666015625
30,120,45.412725662685425,0.36966795,0.6113135814666748,60.3752326965332,0.6469475030899048,61.449005126953125,0.6722273826599121,62.18156814575195
31,124,45.33216634344223,0.1687576,0.5395603775978088,58.41531753540039,0.6771971583366394,62.84798049926758,0.6792076230049133,62.81052017211914
32,128,44.82590717870527,0.21158582,0.5589882731437683,58.895416259765625,0.5338954925537109,58.10170364379883,0.5174880027770996,57.68281173706055
