latent_step,raw_frame_idx,rms_contrast,optical_flow,unpredictability_h1_euclidean,unpredictability_h2_euclidean,unpredictability_h3_euclidean
0,0,0.48200193873940445,0.4230649769306183,111.70539093017578,111.29363250732422,111.0494613647461
1,1,0.3868461775974955,0.6549012064933777,113.37454986572266,113.13190460205078,113.61530303955078
2,2,0.7316766995270954,1.3388538360595703,110.5589599609375,110.7474594116211,110.88046264648438
3,3,0.9043592191524538,1.730869174003601,110.97396850585938,111.27639770507812,110.54825592041016
4,4,0.4547971349685252,0.31464773416519165,111.94232177734375,111.00247192382812,110.99979400634766
5,5,1.119437454147765,1.4185576438903809,109.55776977539062,110.44766235351562,110.79991149902344
6,6,0.49231180329460345,0.8044183254241943,112.7125244140625,112.6192626953125,112.42037963867188
7,7,0.009513449551832155,0.001204653992317617,110.56527709960938,110.074462890625,108.95780181884766
8,8,0.6681476215136916,1.429832935333252,111.57991027832031,110.70515441894531,110.8623046875
9,9,0.8452311535203003,1.6823596954345703,110.45458984375,111.13479614257812,111.20893096923828
10,10,0.7529562950438083,1.146806001663208,108.26419067382812,108.92755889892578,108.73145294189453
11,11,0.44572980890792735,0.8488360047340393,109.71478271484375,109.09246063232422,109.27314758300781
12,12,0.4715716842666456,0.7598073482513428,108.59651947021484,110.50005340576172,109.85916137695312
13,13,0.7198059448419191,1.6358554363250732,112.07191467285156,109.98059844970703,109.84076690673828
14,14,0.5342813186709988,0.5848400592803955,110.10411071777344,109.83633422851562,109.23167419433594
15,15,0.5177816190774489,0.5107326507568359,110.70752716064453,110.16529083251953,110.61673736572266
16,16,0.806843321317255,0.5408169627189636,107.52335357666016,108.6163558959961,108.51033782958984
17,17,0.7538981375838583,0.9649816155433655,107.86566162109375,107.35250854492188,107.54815673828125
18,18,0.8500366283337463,0.8905823826789856,105.50440979003906,106.03936767578125,105.94102478027344
19,19,0.4343907478181065,0.41392233967781067,110.8950424194336,109.89692687988281,109.69374084472656
20,20,0.0,0.00030486565083265305,107.24293518066406,107.81200408935547,108.4246597290039
21,21,0.0,0.00023190071806311607,107.47801971435547,108.08010864257812,107.96733856201172
22,22,0.3117179977863534,0.20188048481941223,110.91370391845703,110.54214477539062,110.25430297851562
23,23,0.0,0.00025766133330762386,110.41370391845703,110.07476043701172,110.31401062011719
24,24,0.612309832630691,0.8776378631591797,107.73312377929688,108.36746215820312,108.37035369873047
25,25,0.06398170529613202,0.02837391011416912,108.1061019897461,107.82411193847656,107.27974700927734
26,26,0.46020671164825694,0.21158583462238312,113.98065948486328,113.50299072265625,113.59158325195312
27,27,0.6538244397006789,1.2169904708862305,108.84634399414062,109.3628921508789,109.26469421386719
28,28,0.3263269879567258,0.29931485652923584,109.41265106201172,109.05947875976562,108.84697723388672
29,29,0.5978096129382104,0.954304039478302,107.89458465576172,108.40452575683594,108.18834686279297
30,30,0.5609462504693458,0.3762202858924866,111.65481567382812,111.0664291381836,111.3956069946289
31,31,0.5281912359358402,0.3450552821159363,107.87507629394531,108.7012939453125,108.77132415771484
32,32,0.5164433116261672,0.57684725522995,113.17849731445312,112.07125091552734,111.58514404296875
33,33,0.5452643733041482,0.4700128734111786,108.70394134521484,108.56787872314453,108.7779312133789
34,34,0.6157609697649781,1.1850978136062622,111.33053588867188,111.55841827392578,111.56436157226562
35,35,0.34620436009847216,0.2445441633462906,108.09345245361328,108.05609893798828,107.60426330566406
36,36,0.3890943392007029,0.2334967702627182,108.45001983642578,107.74980926513672,107.98113250732422
37,37,0.7125592888698725,0.8270108699798584,110.0683364868164,110.47836303710938,110.18036651611328
38,38,0.7825409372204687,1.1894211769104004,114.80409240722656,114.00824737548828,113.89151763916016
39,39,0.5969352903539753,1.5236873626708984,108.37796020507812,108.62202453613281,108.48045349121094
40,40,0.6134663370006176,0.6058327555656433,110.7208023071289,109.77444458007812,109.48552703857422
41,41,0.5215353092294369,0.5161176919937134,107.50749969482422,108.05409240722656,108.40550994873047
42,42,0.8836031634405278,1.3749055862426758,107.48005676269531,107.99922943115234,108.11087036132812
43,43,0.30585265802986367,0.3092350363731384,107.32557678222656,107.42158508300781,107.6258316040039
44,44,0.37692145926793413,0.32267388701438904,110.92682647705078,110.98209381103516,110.68317413330078
