latent_step,raw_frame_idx,rms_contrast,optical_flow,unpredictability_h4_euclidean,unpredictability_h8_euclidean,unpredictability_h12_euclidean
0,0,0.5359061805257996,0.8573328,100.94869995117188,101.183837890625,101.45771789550781
1,4,0.4286463445885686,0.5275368,104.51605224609375,104.97347259521484,104.6858901977539
2,8,0.7198059448419191,1.6358554,104.50022888183594,105.74082946777344,105.45357513427734
3,12,0.9043592191524538,1.7308692,104.19657135009766,104.02604675292969,103.58924102783203
4,16,0.7538981375838583,0.9649816,105.63449096679688,106.21589660644531,106.27035522460938
5,20,0.5044450427568565,0.75945103,103.77876281738281,103.49313354492188,103.3426742553711
6,24,0.5376897023579893,0.77854127,107.07211303710938,105.82363891601562,105.95661163330078
7,28,0.46902403322926584,0.38035282,103.37393188476562,103.06307220458984,103.01419067382812
8,32,0.8194783559770963,1.6444933,105.07196807861328,105.0117416381836,105.09839630126953
9,36,0.477243256379308,1.0012523,103.61686706542969,104.1623306274414,104.182373046875
10,40,0.9334161308390748,2.0149937,102.78778076171875,103.55001831054688,103.42635345458984
11,44,0.6004787712721276,0.42940125,104.75341796875,104.28132629394531,104.15444946289062
12,48,0.2812510484142855,0.29431883,103.34797668457031,103.09620666503906,102.89691162109375
13,52,0.43399261926636457,0.4710508,103.5226821899414,102.84268188476562,102.84606170654297
14,56,0.4475307321715315,0.61142325,102.39551544189453,102.0763931274414,102.59986114501953
15,60,0.5215353092294369,0.5161177,103.14511108398438,103.43466186523438,103.57945251464844
16,64,0.44572980890792735,0.848836,103.68219757080078,103.94558715820312,104.26112365722656
17,68,0.49231180329460345,0.8044183,101.7184066772461,102.72480773925781,103.06954956054688
18,72,0.5342813186709988,0.58484006,103.71675109863281,104.23141479492188,103.77481079101562
19,76,0.49281444211921305,0.89117706,104.58992767333984,105.0042724609375,105.07353973388672
20,80,0.4094163649028932,0.38862097,106.50631713867188,106.5384750366211,105.99268341064453
21,84,0.7314734041690524,1.19656,103.80121612548828,103.74880981445312,103.90296173095703
22,88,0.43880458977326764,0.41843027,105.9632568359375,105.05284118652344,105.33197784423828
23,92,0.5369137876215895,0.8401587,105.64421081542969,105.11412811279297,104.9425277709961
24,96,0.009513449551832155,0.001204654,105.34837341308594,104.95658111572266,104.78475952148438
25,100,0.7054963103817378,0.5564738,104.09994506835938,104.0891342163086,103.84752655029297
26,104,0.567371559742327,1.2265476,102.82302856445312,104.26319122314453,104.56754302978516
27,108,0.06043940348830912,0.019238634,103.36080169677734,103.59571838378906,103.5619125366211
28,112,0.44774397670521776,0.66156554,102.16871643066406,102.8769302368164,103.08009338378906
29,116,0.7570063033985398,0.9159119,103.68650817871094,102.9562759399414,102.97016143798828
30,120,0.7000017633978666,0.6809308,105.1523666381836,104.5538330078125,104.0171890258789
31,124,0.5978096129382104,0.95430404,102.83023834228516,102.80685424804688,102.78398895263672
32,128,0.6211129273750088,1.2205633,104.62490844726562,104.12722778320312,103.94136810302734
