# Summary Statistics
# MEAN_H2: 110.593362
# MEAN_H4: 110.471111
# MEAN_H8: 110.281262
# MAX_H2: 113.617104
# MAX_H4: 113.257965
# MAX_H8: 113.082428
#
latent_step,raw_frame_idx,rms_contrast,optical_flow,unpredictability_h2_euclidean,unpredictability_h4_euclidean,unpredictability_h8_euclidean
0,0,0.16445042396359713,0.14200823,108.10985565185547,108.00640106201172,107.9353256225586
1,1,0.19195850754493024,0.13149387,108.13544464111328,107.91708374023438,107.89291381835938
2,2,0.17619908660770883,0.13489924,107.17430877685547,107.24020385742188,107.25870513916016
3,3,0.18784318268755618,0.15210217,107.24927520751953,107.35690307617188,107.50385284423828
4,4,0.0,0.0001934056,107.26839447021484,107.63282012939453,107.51773834228516
5,5,0.15531873567933543,0.0680854,108.06256866455078,107.98524475097656,107.80067443847656
6,6,0.19081052849939106,0.17920886,111.69674682617188,111.27505493164062,110.82740783691406
7,7,0.16517632190251716,0.114206724,111.4619140625,111.05036163330078,110.82786560058594
8,8,0.17304760258030927,0.12159896,111.10518646240234,110.8298110961914,110.79047393798828
9,9,0.17812684742580276,0.11250986,110.76435089111328,110.73605346679688,110.69762420654297
10,10,0.15753280101495987,0.10952872,110.79330444335938,110.811279296875,110.77410125732422
11,11,0.22625038172215362,0.11907491,110.96434783935547,110.86092376708984,110.82267761230469
12,12,0.09253613906114187,0.050567374,111.01717376708984,110.8735122680664,110.79021453857422
13,13,0.18760476495408343,0.14877073,111.09083557128906,111.01605987548828,110.90680694580078
14,14,0.23258358944115629,0.13269798,111.11357116699219,111.03329467773438,110.86524963378906
15,15,0.13664185195940307,0.08396729,111.18428802490234,111.14379119873047,110.79369354248047
16,16,0.0,0.0002713847,111.02536010742188,110.93094635009766,110.64254760742188
17,17,0.08633911115599822,0.061656237,111.28074645996094,111.04008483886719,110.6587142944336
18,18,0.1276495383962361,0.07379918,111.33219146728516,111.04820251464844,110.83967590332031
19,19,0.14863606580377917,0.12719637,111.22560119628906,110.95551300048828,110.90750885009766
20,20,0.13505285496047706,0.09531203,111.16627502441406,111.07357025146484,110.92230224609375
21,21,0.15228719593391699,0.12141451,111.16646575927734,111.15414428710938,111.0776596069336
22,22,0.14428109588130789,0.09804376,111.41110229492188,111.39566040039062,111.25658416748047
23,23,0.1374115381105904,0.098283425,111.42924499511719,111.2837142944336,111.16525268554688
24,24,0.1200503805187452,0.06875357,111.24349975585938,111.1086654663086,111.07931518554688
25,25,0.10744173860146282,0.07213503,111.36788940429688,111.26358032226562,111.17707824707031
26,26,0.15357081571738432,0.080422536,111.34977722167969,111.33256530761719,111.240478515625
27,27,0.13229008067699252,0.13005368,111.4798355102539,111.43489074707031,111.34797668457031
28,28,0.1205180015350164,0.082178414,111.69689178466797,111.55613708496094,111.4149398803711
29,29,0.0,0.00018125061,111.7533187866211,111.5802993774414,111.53738403320312
30,30,0.1413239041558862,0.13604493,111.48294830322266,111.36382293701172,111.4629135131836
31,31,0.15514912894652222,0.118665904,111.82260131835938,111.86141204833984,112.16280364990234
32,32,0.10422822146755018,0.066004924,111.16609954833984,111.27001190185547,111.59092712402344
33,33,0.1124986411523885,0.056382496,111.111572265625,111.11878204345703,111.63240051269531
34,34,0.16049696383700654,0.11402169,109.02236938476562,109.36849212646484,109.86441040039062
35,35,0.17452859914144625,0.13613544,112.1152114868164,112.67721557617188,112.76567840576172
36,36,0.20383895539819127,0.19594961,112.10509490966797,112.26332092285156,112.3485336303711
37,37,0.30232684015069267,0.28130734,113.4450454711914,113.23594665527344,113.08242797851562
38,38,0.39768860276391343,0.35404387,113.05288696289062,113.13904571533203,112.96156311035156
39,39,0.3338203550148283,0.37100124,113.09828186035156,113.16140747070312,112.99097442626953
40,40,0.4007969087831635,0.42070973,111.57102966308594,111.45858764648438,111.1959457397461
41,41,0.5263817507438702,0.6218054,111.58544158935547,111.49520874023438,111.00912475585938
42,42,0.0030327025686409737,0.001919921,113.08863830566406,113.01546478271484,112.3909912109375
43,43,0.5165609449666748,0.64189905,113.31842041015625,113.25796508789062,112.56490325927734
44,44,0.5461711040644012,0.5976269,110.42898559570312,110.4368896484375,109.96957397460938
45,45,0.5554222875036504,0.4225414,110.229736328125,109.9070053100586,109.64527130126953
46,46,0.6494314554600759,0.5086024,109.86632537841797,109.45297241210938,109.31668853759766
47,47,0.6513480243839797,0.5226828,109.35173797607422,109.38995361328125,109.20039367675781
48,48,0.559740637953416,0.48871818,109.47323608398438,109.42373657226562,109.02389526367188
49,49,0.7435732623563199,0.5443595,111.84156799316406,111.6793212890625,111.20112609863281
50,50,0.6227158093326048,0.52408963,111.22037506103516,111.04325103759766,110.60063171386719
51,51,0.5852262802907396,0.530277,112.95523071289062,112.60457611083984,112.13438415527344
52,52,0.6527131033541302,0.52068263,112.8921127319336,112.51787567138672,112.16986846923828
53,53,0.5281498174383414,0.50932515,111.44963836669922,111.236572265625,111.2426986694336
