# Summary Statistics
# MEAN_H2: 109.436149
# MEAN_H4: 109.520394
# MEAN_H8: 109.744352
# MAX_H2: 115.054932
# MAX_H4: 114.075928
# MAX_H8: 113.499718
#
latent_step,raw_frame_idx,rms_contrast,optical_flow,unpredictability_h2_euclidean,unpredictability_h4_euclidean,unpredictability_h8_euclidean
0,0,0.984281117917817,0.88149947,111.44767761230469,111.27136993408203,111.18236541748047
1,1,0.01325312702028722,0.007511537,111.44920349121094,111.29678344726562,111.26310729980469
2,2,1.1365061802229173,1.2829702,111.42179107666016,111.34327697753906,111.270751953125
3,3,0.0,0.00042283413,111.35370635986328,111.28470611572266,111.26642608642578
4,4,1.2870954185781098,0.9329371,111.38459777832031,111.2662124633789,111.23530578613281
5,5,0.6056628952403081,0.76236695,108.6724624633789,108.80307006835938,108.91988372802734
6,6,0.7004830923844706,0.9100347,108.58806610107422,108.76392364501953,108.92817687988281
7,7,0.05980600888493192,0.039428327,111.84030151367188,111.7052230834961,111.54646301269531
8,8,0.7802917761645745,0.7769472,110.51185607910156,110.42394256591797,110.47586059570312
9,9,0.012548154429005915,0.00819025,109.72647094726562,109.6212158203125,109.78024291992188
10,10,0.7062376702432256,0.83404934,109.59396362304688,109.67195129394531,109.76766967773438
11,11,0.0,0.0004469477,111.16412353515625,111.22640991210938,111.35919952392578
12,12,0.528662474009671,0.6659529,111.38990783691406,111.3765640258789,111.43589782714844
13,13,0.7051491568770997,0.80192924,108.24686431884766,108.4459457397461,108.52794647216797
14,14,0.7469830784384202,0.62535447,108.32596588134766,108.38211059570312,108.54641723632812
15,15,0.0,0.00043182893,108.27767181396484,107.88584899902344,108.232421875
16,16,0.5829191080115462,0.64305145,108.68324279785156,108.8685531616211,109.15958404541016
17,17,0.01055118081536739,0.005108878,108.6384048461914,109.19600677490234,109.65274810791016
18,18,0.5208674131950739,0.45097208,107.34095001220703,107.91047668457031,108.80827331542969
19,19,0.0,0.000581351,108.72506713867188,108.90301513671875,108.90097045898438
20,20,0.6076567555280922,0.5324695,108.90573120117188,108.91828155517578,108.98133087158203
21,21,0.6289565704390538,0.628719,109.79679870605469,109.59181213378906,109.68412780761719
22,22,0.743254891742106,0.660327,109.56529998779297,109.54690551757812,109.62910461425781
23,23,0.003811185797070328,0.004196861,108.94417572021484,109.07678985595703,109.07948303222656
24,24,0.5594781292011972,0.6167473,107.71794128417969,107.85470581054688,107.91679382324219
25,25,0.0097330825214974,0.0067266715,111.2647705078125,111.17146301269531,111.13143920898438
26,26,0.5714612014681014,0.5557791,111.23216247558594,111.11431121826172,111.10148620605469
27,27,0.0,0.00042061415,108.24381256103516,108.17301177978516,108.41830444335938
28,28,0.6169567469950804,0.7379147,108.08904266357422,108.1055679321289,108.42979431152344
29,29,0.6726978873600209,0.71340966,107.80830383300781,107.93885040283203,108.49063873291016
30,30,0.8130630955024135,0.7452487,107.89158630371094,107.9386978149414,108.55144500732422
31,31,0.0,0.0004046523,108.45065307617188,108.50701141357422,108.8086929321289
32,32,0.6780788993391503,0.5268968,106.4980697631836,106.70308685302734,108.745849609375
33,33,0.8062060827893954,0.86709756,108.48738098144531,108.68805694580078,108.87783813476562
34,34,0.01590409511035401,0.010399899,108.781494140625,108.8509750366211,108.9494857788086
35,35,0.0,0.0003657296,108.06697845458984,108.17941284179688,108.25896453857422
36,36,0.9559372369483767,0.823555,107.96205139160156,108.06094360351562,108.08536529541016
37,37,0.6252490977591865,0.52993363,111.23336029052734,111.17035675048828,110.94229125976562
38,38,0.647635964105299,0.65485895,111.25141143798828,111.1085205078125,110.88079833984375
39,39,0.00017448804179746253,0.0004941007,108.29862213134766,108.58988189697266,108.9847412109375
40,40,0.7876388425222013,0.6898515,108.33654022216797,108.28655242919922,108.32400512695312
41,41,0.6539584630882931,0.48578548,111.35536193847656,111.16041564941406,111.05520629882812
42,42,0.01054493119735878,0.0072843763,111.25279235839844,111.1015625,111.08197021484375
43,43,0.0,0.00031722803,109.40908813476562,109.50052642822266,109.58517456054688
44,44,0.7033204862107969,0.62904495,111.1836166381836,111.1761245727539,111.1602554321289
45,45,0.7673915867933649,0.9854904,111.36544036865234,111.20841217041016,111.2206802368164
46,46,0.49128177048529503,0.38725814,111.35983276367188,111.328369140625,111.24059295654297
47,47,0.002165761655095848,0.001967759,110.22314453125,110.4146499633789,110.4864501953125
48,48,0.4933906520890518,0.4543335,109.0164566040039,109.08527374267578,109.25140380859375
49,49,0.6617168300392163,0.46968058,111.59620666503906,111.509765625,111.4993896484375
50,50,0.009384131785940185,0.0071691955,111.4459228515625,111.42697143554688,111.41986083984375
51,51,0.0,0.00032508353,108.02960968017578,108.17207336425781,108.36278533935547
52,52,0.8721176107402789,0.84294647,108.05167388916016,108.15614318847656,108.37344360351562
53,53,0.830857873705241,0.46207386,108.05593872070312,108.20489501953125,108.29647827148438
54,54,1.0259854545954825,0.75444907,108.15089416503906,108.11202239990234,108.2479248046875
55,55,0.03024001321836475,0.018585652,107.61268615722656,107.50382995605469,107.79896545410156
56,56,0.6387396261270678,0.42784783,108.14131927490234,108.06101989746094,108.22642517089844
57,57,0.6722382893759858,0.44688696,110.9926528930664,110.858642578125,110.92988586425781
58,58,0.004855944635821397,0.0020317754,110.93928527832031,110.8465347290039,110.97366333007812
59,59,0.0015534888067926331,0.0015385752,110.3896484375,110.36243438720703,110.55271911621094
