latent_step,raw_frame_idx,rms_contrast,optical_flow,unpredictability_h4,unpredictability_h8,unpredictability_h12
0,0,35.046058264450075,0.2792536,0.6023250818252563,0.5859982967376709,0.5820844173431396
1,4,34.64393802211528,0.19848555,0.447631299495697,0.4347625970840454,0.42887672781944275
2,8,34.54423495092945,0.0002142472,0.5127695798873901,0.48203137516975403,0.4682905375957489
3,12,34.75024859011474,0.32103786,0.41212213039398193,0.38177305459976196,0.3803701400756836
4,16,34.56991628233609,0.28007448,0.5837005376815796,0.5986241102218628,0.5988965034484863
5,20,34.55196944510553,0.00034099535,0.4882086515426636,0.4794973134994507,0.48005399107933044
6,24,34.737179144407676,0.29448965,0.6309322118759155,0.6116145849227905,0.5912081599235535
7,28,35.23322095028055,0.2750539,0.40288853645324707,0.3965855836868286,0.3962438106536865
8,32,35.57667232512586,0.21315832,0.5057278871536255,0.46620145440101624,0.45376142859458923
9,36,35.88581964517871,0.112335056,0.4194480776786804,0.4213278889656067,0.4351150691509247
10,40,35.95494483448045,0.31035706,0.30650603771209717,0.32814913988113403,0.3454839289188385
11,44,33.935540340767524,0.40415108,0.3897433578968048,0.395202100276947,0.3997281789779663
12,48,32.94418669194964,0.11466091,0.27775901556015015,0.2864361107349396,0.32583868503570557
13,52,32.50040630017932,0.027947078,0.4179120659828186,0.40939515829086304,0.4150102436542511
14,56,33.457963962665445,0.07571692,0.3952556252479553,0.40984463691711426,0.4278644621372223
15,60,33.42653372109832,0.08928904,0.3571874797344208,0.3577899932861328,0.38134288787841797
